codigo_articulo,unidad_medida,barcode,longitud_barcode,unidades_x_bulto,id_barcode,id_um,id_articulo_connexa,ext_code,uuid_barcode,timestamp,validacion_ean,descripcion_producto,descripcion_ean,ean_ocurrencias
25085,Unidades,17790070432251,14.0,12,5,unidad,940b7d47-9d3a-492f-95dc-b422fa85ff44,25085,1016ea02-e84e-4770-99c2-0aa836af10ba,2025-04-22 00:58:12.258098,True,ARROZ GALLO PREP. VEG. SELECCION X240G,CAJA * 12 - ARROZ GALLO PREP. VEG. SELECCION X240G,1.0
74905,Unidades,17798356957511,14.0,18,5,unidad,8f194936-2d3f-4d7b-870b-9fe199e9c982,74905,92fd0eaf-ec30-45ea-945f-e4ce36c62e1d,2025-04-22 00:58:12.264133,True,PLATO OKEY OPAL PARA PASTAS 26.8 CM,CAJA * 18 - PLATO OKEY OPAL PARA PASTAS 26.8 CM,1.0
74922,Unidades,17798356956651,14.0,24,5,unidad,2cba8562-6728-404a-888a-fef64460d3f0,74922,9d386c69-80a7-44ff-aec5-1971d5a36ba9,2025-04-22 00:58:12.268146,True,PLATO PLAYO OKEY DE PLASTICO DIAMANTE,CAJA * 24 - PLATO PLAYO OKEY DE PLASTICO DIAMANTE,1.0
27280,Unidades,17798356954381,14.0,6,5,unidad,5027134c-1628-4f09-9892-020fe0f80252,27280,9851cb57-0051-4703-9000-e2fd27d08047,2025-04-22 00:58:12.271901,True,MERMELADA PIACERE DURAZNO 454GR,CAJA * 6 - MERMELADA PIACERE DURAZNO 454GR,1.0
62423,Unidades,7798356955459,13.0,50,1,unidad,fc4806b1-7062-4cb2-9c08-67177c7bc495,62423,5ce73ace-d149-4e2c-889f-0dc26ed2aaa9,2025-04-22 00:58:12.273907,True,CAMISA MICROFIBRA ESTAMPADA TSXXL,PACK * 50 - CAMISA MICROFIBRA ESTAMPADA TSXXL,1.0
27397,Unidades,17790040143699,14.0,16,5,unidad,05468eb1-244b-45e1-92b3-57e5418bde60,27397,309ddba7-a7ac-4e5d-b50a-3e0aaa8e49ac,2025-04-22 00:58:12.277918,True,COFLER BANADAS 132.8 GR,CAJA * 16 - COFLER BANADAS 132.8 GR,1.0
45873,Unidades,7798182435958,13.0,1,1,unidad,59e7d267-b8e4-4af9-b442-509e87b8a171,45873,5561a5b8-b56e-4840-9d97-1e4b726f0db9,2025-04-22 00:58:12.281932,True,CAJA DE SEGURIDAD OKEY 20ED -20X50X37 CM,CAJA DE SEGURIDAD OKEY 20ED -20X50X37 CM,1.0
74784,Unidades,74784,5.0,1,0,unidad,4dd39676-7560-4e9b-8606-0747b884312a,74784,e3f80f15-9452-4e67-8cd4-4c0dad313d67,2025-04-22 00:58:12.285731,False,CANASTO CONTENEDOR DESCARTABLES 1.15X0.60,CANASTO CONTENEDOR DESCARTABLES 1.15X0.60,1.0
18698,Unidades,17798149111717,14.0,12,5,unidad,82ac48e5-6cf1-4922-b789-97eeb0cd1fc4,18698,d012c631-ec81-4232-8bc3-42db62edb433,2025-04-22 00:58:12.285731,True,BOMBON PLIN DE FRUTA 36 UN,CAJA * 12 - BOMBON PLIN DE FRUTA 36 UN,1.0
27706,Unidades,17790380015557,14.0,36,5,unidad,9a18d0e1-9566-4d9e-bba7-9d3bd1204281,27706,d29fe032-f65c-433d-bd0a-2e3faab37d2d,2025-04-22 00:58:12.285731,True,TURRON GEORGALOS DE MANI CON CHOCOLATE 90 G,CAJA * 36 - TURRON GEORGALOS DE MANI CON CHOCOLATE 90 G,1.0
62299,Unidades,17798356951854,14.0,28,5,unidad,e2a3bbe2-23cd-4909-86f2-235a9de6e3b8,62299,815176ea-9329-4d9a-9f88-8b63567cf172,2025-04-22 00:58:12.285731,True,CALZA LARGA INF AZUL NOMINAL T 216,CAJA * 28 - CALZA LARGA INF AZUL NOMINAL T 216,1.0
74926,Unidades,17798356956699,14.0,48,5,unidad,7ea411b0-5ff7-4b27-a154-99329079fe84,74926,390259a1-0d84-4ce8-be42-b14dfc3b79ad,2025-04-22 00:58:12.285731,True,RECIPIENTE OKEY DE PLASTICO S GRIS,CAJA * 48 - RECIPIENTE OKEY DE PLASTICO S GRIS,1.0
62291,Unidades,7798356951147,13.0,28,1,unidad,5b4f2039-0f8c-4c73-b4c2-4e5ef2ee8ee1,62291,618b9581-a6f9-41f4-b505-c5c3c42ba622,2025-04-22 00:58:12.311390,True,CAMPERA BUZO FRIZ CCAP AZUL NOMINAL T 216,PACK * 28 - CAMPERA BUZO FRIZ CCAP AZUL NOMINAL T 216,1.0
33292,Unidades,7790380037750,13.0,1,1,unidad,2272fefc-fdd3-4f5a-a577-f1d22f4759d3,33292,1d78634a-f646-4c5a-a153-befa65ce5cda,2025-04-22 00:58:12.319437,True,GARRAPINADA DE ALMENDRA GEORGALOS 80 GR,GARRAPINADA DE ALMENDRA GEORGALOS 80 GR,1.0
