codigo_articulo,unidad_medida,barcode,longitud_barcode,unidades_x_bulto,id_barcode,id_um,id_articulo_connexa,ext_code,uuid_barcode,timestamp,validacion_ean,descripcion_producto,descripcion_ean,ean_ocurrencias
74784,Unidades,74784,5.0,1,0,unidad,4dd39676-7560-4e9b-8606-0747b884312a,74784,e3f80f15-9452-4e67-8cd4-4c0dad313d67,2025-04-22 00:58:12.285731,False,CANASTO CONTENEDOR DESCARTABLES 1.15X0.60,CANASTO CONTENEDOR DESCARTABLES 1.15X0.60,1.0
62200,Unidades,62200,5.0,1,0,unidad,0b7b9e18-c5f6-4bbd-ab70-94a21aadd968,62200,a300f593-221b-490a-b012-9a4c6662e7b9,2025-04-22 00:58:12.364990,False,PANTALON NAUTICO 8,PANTALON NAUTICO 8,1.0
14627,Unidades,1779038013782,13.0,36,1,unidad,624c0c4e-6489-4ee4-9901-12ef27fbbfb1,14627,2ae7fbf1-befe-48ed-805f-1d019b6de274,2025-04-22 00:58:12.396922,False,CROCANTE MANI NAMUR 90 GR,PACK * 36 - CROCANTE MANI NAMUR 90 GR,1.0
27498,Unidades,27498,5.0,1,0,unidad,4a93aca9-0dde-424b-a9c2-02f520e39334,27498,13a98c99-cf3f-4f72-8219-739fa366cee6,2025-04-22 00:58:12.396922,False,OSOBUCO OFERTA,OSOBUCO OFERTA,1.0
36010,Unidades,15936062354687,14.0,24,5,unidad,2c798849-927a-47cd-b2ec-036b823bb672,36010,144d65ce-f108-4651-acfd-c42ce7e34150,2025-04-22 00:58:12.412995,False,JABON DE TOCADOR REXONA ORCHID FRESH 3 UN 120 GR,CAJA * 24 - JABON DE TOCADOR REXONA ORCHID FRESH 3 UN 120 GR,1.0
91123,Unidades,91123,5.0,3,0,unidad,170e2936-e6e9-4faa-b3ef-f326ada1f37b,91123,c90756d0-d91b-4a48-84d7-e24cc0de595b,2025-04-22 00:58:12.428920,False,PR. BUDIN POZO CON CHOCOLATE 170 GR 3X2,PR. BUDIN POZO CON CHOCOLATE 170 GR 3X2,1.0
27487,Unidades,27487,5.0,1,0,unidad,761c1236-c13a-4097-8d6f-8053f940c0df,27487,e4a46343-0bfc-4c6a-b52e-27c052c7dcf2,2025-04-22 00:58:12.444654,False,BIFE COSTILLA ANGOSTO OFERTA,BIFE COSTILLA ANGOSTO OFERTA,1.0
693,Unidades,4779460003042,13.0,6,1,unidad,b43a8d7e-63db-4bc4-b62a-b48474973160,693,f1085b35-8d8a-4f3d-bca2-9856d06b5292,2025-04-22 00:58:12.444654,False,PAN DULCE TERRABUSI 500 GR,PACK * 6 - PAN DULCE TERRABUSI 500 GR,1.0
91913,Unidades,44569874654,11.0,6,0,unidad,e6bbdf25-60b4-4de0-930c-b2804b2ffefb,91913,2e47139f-3f18-4839-9bf9-fc6c62e1c8d6,2025-04-22 00:58:12.490575,False,PR.AQUARIUS PE500 6X5,PR.AQUARIUS PE500 6X5,1.0
94276,Unidades,12123123123,11.0,10,0,unidad,86f358ce-f657-497d-95a7-0e0c2502806a,94276,d024a4fb-a35b-4ead-af41-8c713b7b0a00,2025-04-22 00:58:12.511676,False,PR.T.CORM SS120 2X1,PR.T.CORM SS120 2X1,1.0
91220,Unidades,4654354345,10.0,6,0,unidad,646d1da2-280c-48ac-bdd3-5107e5990cc8,91220,8086a544-b97d-43af-8363-6f45ce50975f,2025-04-22 00:58:12.519133,False,PR.CEPITA200 MA12X10,PR.CEPITA200 MA12X10,1.0
75039,Unidades,75039,5.0,1,0,unidad,296a7e07-a8d4-4177-ae16-0537718c38bf,75039,b4271221-7ce8-4aca-815b-e6bf6f687773,2025-04-22 00:58:12.543149,False,CIRUELA,CIRUELA,1.0
22522,Unidades,22522,5.0,24,0,unidad,2b3590e4-b4ed-47fa-a981-528d2d31ea27,22522,204dabb5-68b9-4297-9280-bf917a92ebb9,2025-04-22 00:58:12.590503,False,PAPAS FRITAS NIKITOS CHEDDAR 280300 GR,PAPAS FRITAS NIKITOS CHEDDAR 280300 GR,1.0
2588,Unidades,,,25,0,unidad,0abca89e-4115-4784-846b-1617c41b3b34,2588,94bb13b2-f8af-4b7e-ab72-23d11fa639bf,2025-04-22 00:58:12.611921,False,ESPECIAS REINA MORA PIMENTON 25 GR,ESPECIAS REINA MORA PIMENTON 25 GR,
2736,Unidades,111111112736,12.0,1,2,unidad,c99e27a5-321e-48b0-9377-ee624f8efef7,2736,48e16475-ad2f-4d94-8da6-18b48616c15f,2025-04-22 00:58:12.638395,False,PANCETA SALADA PIAMONTESA X KG,PANCETA SALADA PIAMONTESA X KG,1.0
62218,Unidades,62218,5.0,1,0,unidad,aadbde32-c888-4bfa-aa58-406ce3eb65f2,62218,f9bc0572-ac00-4dad-8c77-81a2ec8aa2d8,2025-04-22 00:58:12.734522,False,CAM.DAMA BCA TA.M ML,CAM.DAMA BCA TA.M ML,1.0
81092,Unidades,81092,5.0,1,0,unidad,a5b12514-d145-409a-b3bb-c9e2642e1915,81092,7a5ea872-ee55-465f-ab9f-f25df7cdfeff,2025-04-22 00:58:12.877997,False,SILLON OKEY PLASTICO,SILLON OKEY PLASTICO,1.0
94394,Unidades,94394,5.0,18,0,unidad,2230c971-7bd8-4590-a29b-faa8ebddd440,94394,5923ba34-aa50-411f-9ab7-0c18a3b526ad,2025-04-22 00:58:12.893661,False,PR. JUGO INCA NARANJA BANANA  18X16,PR. JUGO INCA NARANJA BANANA  18X16,1.0
90081,Unidades,90081,5.0,1,0,unidad,4072e1ec-f2fb-4e44-badd-0f115d323160,90081,6b6c45fe-a6f7-49ff-bf8b-6056e5cad771,2025-04-22 00:58:12.925454,False,CAJA MUNI COMODORO.R.,CAJA MUNI COMODORO.R.,1.0
91922,Unidades,1312313291922,13.0,1,1,unidad,50284472-5154-4f2e-96bc-0c77ba9c78ea,91922,0dd5adfd-3640-4c7d-8e06-ec9b96d11d6a,2025-04-22 00:58:12.925454,False,PR.LEVITE NA2.25 6X5,PR.LEVITE NA2.25 6X5,1.0
72760,Unidades,65675078614,11.0,30,0,unidad,70cf57f5-e42b-487f-8622-410d7d56fabc,72760,76ac34f4-dc99-4caf-a9f0-609fbd5383e0,2025-04-22 00:58:12.941328,False,CORTINA DOBLE KAPRIMU 100 MICRONES C PROTECTOR DELUXE,CORTINA DOBLE KAPRIMU 100 MICRONES C PROTECTOR DELUXE,1.0
86277,Unidades,01177983569553,14.0,12,5,unidad,8fd33597-1f34-4d18-852f-1d6147f08d5d,86277,96c245a0-a777-419b-b186-f2ddee2b104e,2025-04-22 00:58:13.020720,False,PANTUFLA MUJER NEGRO NR3541,CAJA * 12 - PANTUFLA MUJER NEGRO NR3541,1.0
91131,Unidades,7797465444,10.0,12,0,unidad,9f6dd2f7-181b-42af-bc3b-99bbafe2f4fc,91131,75badfa7-9d32-4afa-8446-0d8f7c7b17c2,2025-04-22 00:58:13.026375,False,PR.V2ANCX500 MAN12X11,PR.V2ANCX500 MAN12X11,1.0
93159,Unidades,93159,5.0,1,0,unidad,14dfcfca-39df-4b17-85c1-b3c3cbd992ff,93159,2f717a58-6392-4473-9b1d-2e7c47146605,2025-04-22 00:58:13.037497,False,PR.RINDE2 PORO10X8,PR.RINDE2 PORO10X8,1.0
98744,Unidades,98744,5.0,2,0,unidad,d549823e-2307-42a7-b3dc-b71fb99835f5,98744,d1f7983d-0e91-4c43-807a-75454d8b97c4,2025-04-22 00:58:13.037497,False,PR. GELATINA EXQUISITA FRAMBUESA REG 40 GR 2X1,PR. GELATINA EXQUISITA FRAMBUESA REG 40 GR 2X1,1.0
91926,Unidades,2222222291926,13.0,24,1,unidad,b1f5dca8-014e-4689-8d15-9913ec0792c0,91926,99e700bf-5dca-4920-ba5f-3d670ab4e29b,2025-04-22 00:58:13.060294,False,PR.SPEED X250 24X22,PACK * 24 - PR.SPEED X250 24X22,1.0
81770,Unidades,01277983741708,14.0,50,5,unidad,8f9ee8ec-7aaf-4760-8e8a-cdbdc3b069d4,81770,56827ac0-7c2e-4410-86c8-33a7acf9dd04,2025-04-22 00:58:13.068434,False,FUNDAS DE ALMOHADA MICROFIBRA LISA X2,CAJA * 50 - FUNDAS DE ALMOHADA MICROFIBRA LISA X2,1.0
22547,Unidades,22547,5.0,1,0,unidad,55beb1da-9c18-48bc-88ab-66984e2752f0,22547,fa159b65-7647-4764-9741-2d5bab652659,2025-04-22 00:58:13.084200,False,MOLLEJAS CONGELADAS X KG,MOLLEJAS CONGELADAS X KG,1.0
75154,Unidades,75154,5.0,1,0,unidad,ce2ca4e6-ba2a-4aa1-920f-b57d5292fe11,75154,8a31551f-b089-4859-b42c-c43e96d24947,2025-04-22 00:58:13.132002,False,LIMON,LIMON,1.0
62194,Unidades,62194,5.0,1,0,unidad,42329cec-f439-4674-bd89-11c6f4639fcd,62194,26030dd1-3bfb-4562-9984-93bdc6b185c1,2025-04-22 00:58:13.163849,False,PANTALON NAUTICO 4,PANTALON NAUTICO 4,1.0
94369,Unidades,94369,5.0,2,0,unidad,3af3c6e8-fbdb-41fc-8225-2f8dd2c277aa,94369,9e505a1b-8853-4591-b502-fbd5ea811bf4,2025-04-22 00:58:13.180011,False,PR.BROCHES OKEY 2X1,PR.BROCHES OKEY 2X1,1.0
62212,Unidades,62212,5.0,1,0,unidad,4c46240e-c20b-4e3e-abea-fdce23783cb1,62212,820c03f1-60a5-42fe-9f2c-3c0668c0024a,2025-04-22 00:58:13.195977,False,ZAP.SEG.T47,ZAP.SEG.T47,1.0
92705,Unidades,92705,5.0,3,0,unidad,88d4cc5f-4221-414f-a362-454968179840,92705,97f34792-7c77-4b25-9a5f-aca940eb5ad4,2025-04-22 00:58:13.248759,False,PR.2ANCLAS PIMBCA3X2,PR.2ANCLAS PIMBCA3X2,1.0
84294,Unidades,67795208051215,14.0,48,5,unidad,478b154c-f3d9-442c-ae17-5434da8e221f,84294,08b21995-6317-466c-99b0-d0fc5a971e4c,2025-04-22 00:58:13.259627,False,SLIME BARBIE SPA DE MANOS,CAJA * 48 - SLIME BARBIE SPA DE MANOS,1.0
