codigo_articulo,unidad_medida,barcode,longitud_barcode,unidades_x_bulto,id_barcode,id_um,id_articulo_connexa,ext_code,uuid_barcode,timestamp,validacion_ean,descripcion_producto,descripcion_ean,ean_ocurrencias
4898,Unidades,1779007041812,13.0,10,1,unidad,28a85a77-1d19-449b-a487-1b0391e010d2,4898,5c7fddda-af1c-4bd6-a5fd-9e0561081991,2025-03-04 19:18:22.225997,False,ARROZ LUCHETTI PARBOIL 1 KG,PACK * 10 - ARROZ LUCHETTI PARBOIL 1 KG,1.0
4916,Unidades,7790345108007,13.0,12,1,unidad,db2fd2f5-170b-455a-b94e-58c58926cd80,4916,4ff9f384-c6b4-44d2-a74b-7c3a5c567d49,2025-03-04 19:18:22.255221,False,ESCOBILLON SAMANTHA REINA,PACK * 12 - ESCOBILLON SAMANTHA REINA,1.0
4925,Unidades,37790345110108,14.0,12,5,unidad,2967a312-1966-4fd1-8819-50b7ebd1968e,4925,d13264fc-1a42-4c51-b3c6-0a5f75728536,2025-03-04 19:18:22.274821,False,ESCOBILLON SAMANTHA DENISSE,CAJA * 12 - ESCOBILLON SAMANTHA DENISSE,1.0
6030,Unidades,1111111116030,13.0,1,1,unidad,d3c2cc5b-038c-44eb-ac33-d7ba6d40a904,6030,60719abb-fde7-4b78-9f0e-6fc1ba0e9b20,2025-03-04 19:18:22.299919,False,PORTAPRECIO 80 RACK,PORTAPRECIO 80 RACK,1.0
6030,Unidades,6030,4.0,50,0,unidad,d3c2cc5b-038c-44eb-ac33-d7ba6d40a904,6030,0a598b29-1aad-492f-82d9-f9a5e42d42c0,2025-03-04 19:18:22.299919,False,PORTAPRECIO 80 RACK,PORTAPRECIO 80 RACK,1.0
4968,Unidades,77309084015959,14.0,240,5,unidad,6684724b-34f9-4969-bc9d-7a36b78e867c,4968,72a8fdf7-809b-4077-a141-3abd12304956,2025-03-04 19:18:22.304602,False,JUGO RINDE DOS ANANA EN POLVO 13 GR,CAJA * 240 - JUGO RINDE DOS ANANA EN POLVO 13 GR,1.0
6588,Unidades,6588,4.0,1,0,unidad,2978dff6-9ae9-46af-89cb-0b1fc91a009b,6588,ca915909-e172-4059-a891-b53d36160af0,2025-03-04 19:18:22.432041,False,GUANTES MOTEADOS 08,GUANTES MOTEADOS 08,1.0
5085,Unidades,7793200000940,13.0,1,1,unidad,cd70fbc7-1bd0-4afc-952a-429d1c224a52,5085,f04f4bd0-e5b6-45be-a3f0-05e7e0ff8724,2025-03-04 19:18:22.447799,False,BUDIN VALENTE CON CHIP DE CHOCOLATE 170 GR,BUDIN VALENTE CON CHIP DE CHOCOLATE 170 GR,1.0
5098,Unidades,,,8,0,unidad,75ccdcc5-c5ef-484e-b73d-84dc3c9d7555,5098,c8b7e9a4-86c5-4d31-a902-2969eb0a5eed,2025-03-04 19:18:22.471856,False,ENDULZANTE HILERET EN POLVO STEVIA 50 SOBRES,ENDULZANTE HILERET EN POLVO STEVIA 50 SOBRES,
5098,Unidades,,,1,0,unidad,75ccdcc5-c5ef-484e-b73d-84dc3c9d7555,5098,1672fcc5-9720-41b4-8d1e-8768d772c0bc,2025-03-04 19:18:22.471856,False,ENDULZANTE HILERET EN POLVO STEVIA 50 SOBRES,ENDULZANTE HILERET EN POLVO STEVIA 50 SOBRES,
5107,Unidades,3779015005105,13.0,1,1,unidad,54d4d304-4b83-4498-be63-a9b76cf11820,5107,eb27ec9e-6447-4918-bc24-9cbcac86f61b,2025-03-04 19:18:22.477885,False,ESPECIAS ALICANTE OREGANO 25 GR,ESPECIAS ALICANTE OREGANO 25 GR,1.0
17073,Unidades,17073,5.0,1,0,unidad,3d8cb8e2-7828-464d-a808-cda055dc748d,17073,f830756e-aab2-4764-9d69-9ae8d24c77bf,2025-03-04 19:18:22.566607,False,COM.EPSONTM20II,COM.EPSONTM20II,1.0
18478,Unidades,18478,5.0,1,0,unidad,32ad1942-da58-46be-8283-7631b623f390,18478,be2c2e0e-a0fe-48bf-97a2-51e3e1ac7141,2025-03-04 19:18:22.606229,False,KIT ARNES DE SEGURIDAD,KIT ARNES DE SEGURIDAD,1.0
18479,Unidades,18479,5.0,1,0,unidad,59fc517a-d984-4741-ac2b-ce0aa64d8c32,18479,08b76546-7f14-4ba0-9af7-25993a7146e8,2025-03-04 19:18:22.606229,False,GUANTE DIELECTRICO,GUANTE DIELECTRICO,1.0
18618,Unidades,18618,5.0,1,0,unidad,b41fca15-503c-4349-847d-fb57d77a891b,18618,4f3ac08a-9347-40cc-83ba-72f1eb0930ec,2025-03-04 19:18:22.622247,False,PORTAPRECIO A4 PARA CANASTO 1.20X1.00,PORTAPRECIO A4 PARA CANASTO 1.20X1.00,1.0
5218,Unidades,5218,4.0,1,0,unidad,919d131b-b2fc-47ea-8780-411f538d17cd,5218,ee2e7dfa-dcd0-47e3-b6ee-acfb6f402469,2025-03-04 19:18:22.670848,False,LECHE CHOCOLATADA CINDOR 1 LT,LECHE CHOCOLATADA CINDOR 1 LT,1.0
21693,Unidades,21693,5.0,10,0,unidad,7b2cbe2f-fa41-4517-92d7-5ce3fda57240,21693,e65b8281-286d-479c-ab39-08019aaccb3b,2025-03-04 19:18:22.679352,False,PORTAPRECIO A3 PET SECTOR TEXTIL,PORTAPRECIO A3 PET SECTOR TEXTIL,1.0
23400,Unidades,234500,6.0,1,0,unidad,ef4bb797-6403-490f-a074-be0aaed59f31,23400,a98847a8-3223-4068-b8ae-b3addb9c18db,2025-03-04 19:18:22.786212,False,PAPEL SILICONADO X 500,PAPEL SILICONADO X 500,1.0
24633,Unidades,24633,5.0,1,0,unidad,fd32b461-afdf-42cb-944d-b2da5ed3a0a3,24633,7c56d06d-09f2-4adb-babc-1f71674e7d53,2025-03-04 19:18:22.995642,False,ASADO ENTERO SWIFT,ASADO ENTERO SWIFT,1.0
5484,Unidades,779525200956,12.0,12,2,unidad,17afea46-acf4-43b0-a893-2c6613c6c7b7,5484,34ac0b23-03e8-41fe-a3d4-ebba75dd79e8,2025-03-04 19:18:23.000452,False,ESCOBILLON LA GRINGA IRIZAR,ESCOBILLON LA GRINGA IRIZAR,1.0
26666,Unidades,26666,5.0,1,0,unidad,e3c0b0ae-3f16-4fee-be45-dd139a0b7aba,26666,20d73728-51dd-4cb7-89be-8aedb7876c40,2025-03-04 19:18:23.057897,False,PATA X KG,PATA X KG,1.0
30598,Unidades,1234,4.0,1,0,unidad,b7c7ca52-2c30-4574-857f-997fd8ea4ba6,30598,6d1f2493-9f2f-44fe-a6d4-ad628deed196,2025-03-04 19:18:23.071974,False,MERCADERIAS VARIAS,MERCADERIAS VARIAS,1.0
30598,Unidades,12345,5.0,1,0,unidad,b7c7ca52-2c30-4574-857f-997fd8ea4ba6,30598,1a120eca-380a-4f71-af1b-e957bb6583d8,2025-03-04 19:18:23.071974,False,MERCADERIAS VARIAS,MERCADERIAS VARIAS,1.0
60254,Unidades,60254,5.0,1,0,unidad,5fb68f78-6e1c-40af-b281-233f13ccf611,60254,7f405ac5-390d-46df-a70a-ffe2cc4f445b,2025-03-04 19:18:23.195891,False,FAJAS DE SEGUR. XXXL,FAJAS DE SEGUR. XXXL,1.0
45373,Unidades,45373,5.0,1,0,unidad,2463d83f-97a2-45c6-8c31-ea092a756468,45373,c626f025-ae5d-46a1-a550-69d1d2191130,2025-03-04 19:18:23.221024,False,ESCALE.MANGRULLO DB,ESCALE.MANGRULLO DB,1.0
